bldg_id,weight,study_weight,stratum,inclusion_probability,in.county,in.county_name,in.cec_climate_zone,in.geometry_building_type_recs,in.hvac_cooling_type,in.heating_fuel,out.electricity.total.energy_consumption..kwh
262565,253.90367272727272,3046.8440727272728,Single-Family Attached | cooling installed,0.08333333333333333,G0600190,Fresno County,13,Single-Family Attached,Central AC,Natural Gas,7142.4350518442
276370,253.90367272727272,7997.96569090909,Multi-Family with 5+ Units | no cooling,0.031746031746031744,G0600190,Fresno County,13,Multi-Family with 5+ Units,None,Natural Gas,2702.7014093844
284077,253.90367272727272,5501.246242424243,Multi-Family with 5+ Units | cooling installed,0.046153846153846156,G0600190,Fresno County,13,Multi-Family with 5+ Units,Central AC,Natural Gas,5149.258703414001
286228,253.90367272727272,8124.917527272728,Multi-Family with 2 - 4 Units | no cooling,0.03125,G0600190,Fresno County,13,Multi-Family with 2 - 4 Units,None,Natural Gas,2620.055367588
364364,253.90367272727272,5361.848147593584,Single-Family Detached | cooling installed,0.04735376044568245,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,10992.802772131801
366428,253.90367272727272,5361.848147593584,Single-Family Detached | cooling installed,0.04735376044568245,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,7276.3685309256
372807,253.90367272727272,5361.848147593584,Single-Family Detached | cooling installed,0.04735376044568245,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,13272.8956982878
382303,253.90367272727272,1142.5665272727272,Mobile Home | no cooling,0.2222222222222222,G0600190,Fresno County,13,Mobile Home,None,Electricity,9349.5532815204
383712,253.90367272727272,5501.246242424243,Multi-Family with 5+ Units | cooling installed,0.046153846153846156,G0600190,Fresno County,13,Multi-Family with 5+ Units,Central AC,Electricity,7042.7908879762
406174,253.90367272727272,5501.246242424243,Multi-Family with 5+ Units | cooling installed,0.046153846153846156,G0600190,Fresno County,13,Multi-Family with 5+ Units,Central AC,Electricity,2870.3380615388
440196,253.90367272727272,5501.246242424243,Multi-Family with 5+ Units | cooling installed,0.046153846153846156,G0600190,Fresno County,13,Multi-Family with 5+ Units,Central AC,Electricity,4406.9096825974
448991,253.90367272727272,5361.848147593584,Single-Family Detached | cooling installed,0.04735376044568245,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,11963.4541566342
453250,253.90367272727272,5361.848147593584,Single-Family Detached | cooling installed,0.04735376044568245,G0600190,Fresno County,13,Single-Family Detached,Room AC,Natural Gas,6221.898820346
454305,253.90367272727272,5361.848147593584,Single-Family Detached | cooling installed,0.04735376044568245,G0600190,Fresno County,13,Single-Family Detached,Central AC,Electricity,18673.023237793
463234,253.90367272727272,7997.96569090909,Multi-Family with 5+ Units | no cooling,0.031746031746031744,G0600190,Fresno County,13,Multi-Family with 5+ Units,None,Natural Gas,3383.2124343888004
477365,253.90367272727272,5649.356718181819,Single-Family Detached | no cooling,0.0449438202247191,G0600190,Fresno County,13,Single-Family Detached,None,Natural Gas,10345.7018491302
494368,253.90367272727272,5712.832636363637,Multi-Family with 2 - 4 Units | cooling installed,0.044444444444444446,G0600190,Fresno County,13,Multi-Family with 2 - 4 Units,Room AC,Natural Gas,6149.2171949364
503202,253.90367272727272,5361.848147593584,Single-Family Detached | cooling installed,0.04735376044568245,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,4011.5568088976
511927,253.90367272727272,5649.356718181819,Single-Family Detached | no cooling,0.0449438202247191,G0600190,Fresno County,13,Single-Family Detached,None,Electricity,1620.0968760655999
523872,253.90367272727272,5361.848147593584,Single-Family Detached | cooling installed,0.04735376044568245,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,16559.6877505808
528426,253.90367272727272,1142.5665272727272,Single-Family Attached | no cooling,0.2222222222222222,G0600190,Fresno County,13,Single-Family Attached,None,Natural Gas,4960.8140052754
531346,253.90367272727272,5361.848147593584,Single-Family Detached | cooling installed,0.04735376044568245,G0600190,Fresno County,13,Single-Family Detached,Central AC,Natural Gas,5959.600212517001
534264,253.90367272727272,5361.848147593584,Single-Family Detached | cooling installed,0.04735376044568245,G0600190,Fresno County,13,Single-Family Detached,Non-Ducted Heat Pump,Electricity,9819.346207051001
534700,253.90367272727272,3046.8440727272728,Single-Family Attached | cooling installed,0.08333333333333333,G0600190,Fresno County,13,Single-Family Attached,Central AC,Natural Gas,7317.6915518238
537390,253.90367272727272,5361.848147593584,Single-Family Detached | cooling installed,0.04735376044568245,G0600190,Fresno County,13,Single-Family Detached,Ducted Heat Pump,Electricity,5160.395404081601
538360,253.90367272727272,5712.832636363637,Multi-Family with 2 - 4 Units | cooling installed,0.044444444444444446,G0600190,Fresno County,13,Multi-Family with 2 - 4 Units,Room AC,Natural Gas,3285.326696942
